sample_id,condition,batch
sample_01,control,batch_1
sample_02,control,batch_1
sample_03,control,batch_1
sample_04,control,batch_1
sample_05,control,batch_1
sample_06,control,batch_1
sample_07,control,batch_1
sample_08,control,batch_1
sample_09,control,batch_1
sample_10,control,batch_1
sample_11,control,batch_1
sample_12,control,batch_1
sample_13,treated,batch_1
sample_14,treated,batch_1
sample_15,treated,batch_1
sample_16,treated,batch_1
sample_17,treated,batch_1
sample_18,treated,batch_1
sample_19,treated,batch_1
sample_20,treated,batch_1
sample_21,treated,batch_1
sample_22,treated,batch_1
sample_23,treated,batch_1
sample_24,treated,batch_1
