sample_id,feature_a,feature_b,feature_c
sample_01,-1.04,0.29,0.98
sample_02,-0.85,0.12,0.73
sample_03,-0.61,-0.14,0.49
sample_04,-0.47,0.39,0.21
sample_05,-0.28,-0.06,-0.08
sample_06,-0.08,0.22,-0.25
sample_07,0.08,-0.29,-0.48
sample_08,0.18,0.49,-0.70
sample_09,0.34,-0.39,-0.91
sample_10,0.58,0.13,-0.54
sample_11,0.77,-0.11,-0.22
sample_12,0.94,0.31,0.13
sample_13,-0.60,0.58,1.17
sample_14,-0.42,0.39,0.94
sample_15,-0.21,0.17,0.64
sample_16,-0.05,0.67,0.42
sample_17,0.19,0.23,0.12
sample_18,0.38,0.52,-0.02
sample_19,0.55,0.03,-0.25
sample_20,0.72,0.72,-0.48
sample_21,0.91,-0.06,-0.64
sample_22,1.13,0.36,-0.38
sample_23,1.32,0.07,-0.07
sample_24,1.51,0.49,0.22
