sample_id,feature_a,feature_b,feature_c
sample_01,-1.20,0.30,1.10
sample_02,-0.95,0.10,0.80
sample_03,-0.70,-0.20,0.50
sample_04,-0.55,0.45,0.20
sample_05,-0.35,-0.10,-0.10
sample_06,-0.10,0.25,-0.30
sample_07,0.05,-0.35,-0.55
sample_08,0.20,0.55,-0.80
sample_09,0.40,-0.45,-1.00
sample_10,0.65,0.15,-0.60
sample_11,0.85,-0.15,-0.25
sample_12,1.05,0.35,0.15
sample_13,-0.90,0.65,1.35
sample_14,-0.65,0.45,1.05
sample_15,-0.40,0.15,0.75
sample_16,-0.25,0.80,0.45
sample_17,-0.05,0.25,0.15
sample_18,0.20,0.60,-0.05
sample_19,0.35,0.00,-0.30
sample_20,0.50,0.85,-0.55
sample_21,0.70,-0.10,-0.75
sample_22,0.95,0.40,-0.45
sample_23,1.15,0.05,-0.10
sample_24,1.35,0.55,0.25
